date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Precipitation,month,log_PM2.5,log_CO,season_Spring,season_Summer,season_Winter,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,AQI_t+1,AQI_t+2,AQI_t+3,AQI_lag_1,AQI_lag_2,AQI_roll_mean_3,AQI_roll_std_3,AQI_diff,AQI_rolling_mean
2025-03-29,98.5,28.5875,55.91666666666666,34.61666666666667,15.804166666666667,776.4166666666666,88.79166666666667,26.97083333333333,23.80729166666665,0.0,3,3.387351974840102,6.655976457172961,True,False,False,False,False,False,False,True,False,96.79166666666669,73.70833333333333,79.70833333333333,96.33333333333331,73.29166666666667,80.36111111111111,13.862690569106523,23.041666666666643,89.375
2025-03-30,96.79166666666669,21.579166666666666,38.6,23.03333333333333,18.866666666666667,530.7083333333334,117.54166666666669,26.516666666666666,39.875,0.0,3,3.117027652224123,6.276095093386031,True,False,False,False,False,False,False,False,True,73.70833333333333,79.70833333333333,91.04166666666669,98.5,96.33333333333331,89.375,13.970641339767704,2.1666666666666856,97.20833333333333
2025-03-31,73.70833333333333,19.0,38.50833333333333,22.58333333333333,15.954166666666667,627.3333333333334,93.54166666666669,26.075,65.54166666666667,0.0,3,2.995732273553991,6.443070811214001,True,False,False,False,False,False,False,False,False,79.70833333333333,91.04166666666669,81.70833333333333,96.79166666666669,98.5,97.20833333333333,1.14184913382992,-1.7083333333333144,89.66666666666669
2025-04-01,79.70833333333333,25.320833333333336,62.5125,27.433333333333334,18.48333333333333,588.625,89.66666666666667,27.183333333333334,62.375,0.0,4,3.270360767556709,6.379486741604426,True,False,False,True,False,False,False,False,False,91.04166666666669,81.70833333333333,85.875,73.70833333333333,96.79166666666669,89.66666666666669,13.846692846227231,-23.083333333333357,83.40277777777779
2025-04-02,91.04166666666669,25.825,44.02916666666667,34.99583333333333,21.745833333333334,689.0,80.70833333333333,27.141666666666666,60.54166666666666,0.0,4,3.2893342885167622,6.536691597591305,True,False,False,False,True,False,False,False,False,81.70833333333333,85.875,63.375,79.70833333333333,73.70833333333333,83.40277777777779,11.97692611896896,6.0,81.48611111111113
2025-04-03,81.70833333333333,22.54583333333333,37.3,29.1375,16.508333333333333,571.5,83.125,27.35,65.95833333333333,0.0,4,3.1589488762878517,6.350012735428395,True,False,False,False,False,True,False,False,False,85.875,63.375,50.0,91.04166666666669,79.70833333333333,81.48611111111113,8.802356586815977,11.333333333333357,84.15277777777779
2025-04-04,85.875,18.879166666666663,29.0875,26.40416666666667,16.266666666666666,646.0833333333334,99.375,27.98333333333333,61.208333333333336,0.0,4,2.9896722821741153,6.4724750857947875,True,False,False,False,False,False,True,False,False,63.375,50.0,55.25,81.70833333333333,91.04166666666669,84.15277777777779,6.049181150583461,-9.333333333333357,86.20833333333336
2025-04-05,63.375,11.245833333333332,14.7125,18.0625,11.4,402.2916666666667,90.375,28.495833333333334,60.66666666666666,0.0,4,2.5051857430769258,5.999660038801143,True,False,False,False,False,False,False,True,False,50.0,55.25,65.20833333333333,85.875,81.70833333333333,86.20833333333336,4.675586713033255,4.166666666666671,76.98611111111113
2025-04-06,50.0,12.245833333333332,28.695833333333336,13.516666666666666,8.983333333333333,348.625,96.0,30.28333333333333,42.16666666666666,0.0,4,2.5836830375688113,5.856861151522124,True,False,False,False,False,False,False,False,True,55.25,65.20833333333333,72.875,63.375,85.875,76.98611111111113,11.970256348007638,-22.5,66.41666666666669
2025-04-07,55.25,13.295833333333334,21.34583333333333,14.65,9.6125,390.5,96.0,29.166666666666668,54.29166666666666,0.0,4,2.6599681195164586,5.969985515430857,True,False,False,False,False,False,False,False,False,65.20833333333333,72.875,63.91666666666666,50.0,63.375,66.41666666666669,18.129884399336675,-13.375,56.20833333333334
2025-04-08,65.20833333333333,22.745833333333334,37.69166666666667,20.5625,13.458333333333334,450.5833333333333,82.83333333333333,28.025,71.5,0.0,4,3.1674070764930082,6.112759925778114,True,False,False,True,False,False,False,False,False,72.875,63.91666666666666,66.58333333333333,55.25,50.0,56.20833333333334,6.738802440590561,5.25,56.81944444444446
2025-04-09,72.875,21.04583333333333,41.84166666666667,21.4125,13.758333333333333,449.9583333333333,74.95833333333333,27.683333333333334,76.58333333333333,0.0,4,3.09312361956214,6.1113749479472,True,False,False,False,True,False,False,False,False,63.91666666666666,66.58333333333333,74.41666666666667,65.20833333333333,55.25,56.81944444444446,7.72468236192069,9.958333333333329,64.44444444444446
2025-04-10,63.91666666666666,17.1625,35.22083333333333,15.816666666666668,12.120833333333332,308.375,80.375,27.70833333333333,77.375,0.0,4,2.8993590288964013,5.734554133322955,True,False,False,False,False,True,False,False,False,66.58333333333333,74.41666666666667,61.16666666666666,72.875,65.20833333333333,64.44444444444446,8.837296018913442,7.666666666666671,67.33333333333333
2025-04-11,66.58333333333333,22.391666666666666,47.68333333333334,14.529166666666669,11.020833333333334,347.2083333333333,82.58333333333333,28.0375,76.95833333333333,0.0,4,3.1523798335798365,5.85280095965349,True,False,False,False,False,False,True,False,False,74.41666666666667,61.16666666666666,57.66666666666666,63.91666666666666,72.875,67.33333333333333,4.842484153588505,-8.958333333333343,67.79166666666667
